Gene,Gene description,Variation between individuals,Variation within individuals
ALDH1L1,Aldehyde dehydrogenase 1 family member L1,3.64,22.8
FGR,"FGR proto-oncogene, Src family tyrosine kinase",3.63,0
CPXM2,"Carboxypeptidase X, M14 family member 2",3.63,7.89
IDO1,"Indoleamine 2,3-dioxygenase 1",3.62,9.44
SNU13,Small nuclear ribonucleoprotein 13,3.61,1.92
WASHC3,WASH complex subunit 3,3.59,1.33
SH2D4B,SH2 domain containing 4B,3.57,29.38
HBEGF,Heparin binding EGF like growth factor,3.57,21.38
S100A12,S100 calcium binding protein A12,3.57,10.61
MSMP,"Microseminoprotein, prostate associated",3.56,50.94
SNCG,Synuclein gamma,3.56,70.35
NUDCD3,NudC domain containing 3,3.56,9.9
WASL,WASP like actin nucleation promoting factor,3.55,53.69
MMP12,Matrix metallopeptidase 12,3.54,43.43
CEACAM16,"CEA cell adhesion molecule 16, tectorial membrane component",3.51,40.71
OBI1,ORC ubiquitin ligase 1,3.49,9.46
CAMSAP2,Calmodulin regulated spectrin associated protein family member 2,3.49,38.26
RENBP,Renin binding protein,3.49,10.63
ALDH5A1,Aldehyde dehydrogenase 5 family member A1,3.49,13.85
EPHX2,Epoxide hydrolase 2,3.47,49.79
PILRA,Paired immunoglobin like type 2 receptor alpha,3.46,68.61
PTP4A3,Protein tyrosine phosphatase 4A3,3.46,7.22
GZMB,Granzyme B,3.46,22.58
ARHGAP12,Rho GTPase activating protein 12,3.46,0
LAG3,Lymphocyte activating 3,3.45,21.56
TPMT,Thiopurine S-methyltransferase,3.44,5.94
SIGLEC7,Sialic acid binding Ig like lectin 7,3.44,58.09
UBTD2,Ubiquitin domain containing 2,3.43,21.08
MCEMP1,Mast cell expressed membrane protein 1,3.42,70.4
IL18,Interleukin 18,3.41,30.82
IFNG,Interferon gamma,3.41,4.09
CLTB,Clathrin light chain B,3.41,7.8
FGFBP3,Fibroblast growth factor binding protein 3,3.39,31.71
SRPX,Sushi repeat containing protein X-linked,3.39,62.49
CXCL9,C-X-C motif chemokine ligand 9,3.37,3.77
ENO2,Enolase 2,3.36,14.06
TACSTD2,Tumor associated calcium signal transducer 2,3.35,49.45
LYG2,Lysozyme g2,3.35,35.47
CDC26,Cell division cycle 26,3.34,4.48
WAS,WASP actin nucleation promoting factor,3.32,19.65
UBE2E2,Ubiquitin conjugating enzyme E2 E2,3.32,18.52
PSME1,Proteasome activator subunit 1,3.32,3.08
SUSD5,Sushi domain containing 5,3.32,37.6
LDLR,Low density lipoprotein receptor,3.32,29.68
FCN1,Ficolin 1,3.3,51.11
KHDC3L,"KH domain containing 3 like, subcortical maternal complex member",3.3,24.24
BBX,BBX high mobility group box domain containing,3.3,19.34
ROBO3,Roundabout guidance receptor 3,3.29,15.37
MTHFD1,"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",3.29,1.24
PMCH,Pro-melanin concentrating hormone,3.28,24.11
LCP1,Lymphocyte cytosolic protein 1,3.28,64.32
DUSP29,Dual specificity phosphatase 29,3.28,13.16
ALPG,"Alkaline phosphatase, germ cell",3.27,67.94
IL19,Interleukin 19,3.26,26.11
EIF2D,Eukaryotic translation initiation factor 2D,3.23,2.74
CCL4,C-C motif chemokine ligand 4,3.22,44.46
CECR2,CECR2 histone acetyl-lysine reader,3.22,12.02
APOBEC2,Apolipoprotein B mRNA editing enzyme catalytic subunit 2,3.22,2.59
FAM228A,Family with sequence similarity 228 member A,3.22,35.4
RET,Ret proto-oncogene,3.21,21.09
FKBP10,FKBP prolyl isomerase 10,3.21,17.61
STEAP4,STEAP4 metalloreductase,3.21,13.8
TSC22D1,TSC22 domain family member 1,3.21,3.95
RELT,RELT TNF receptor,3.21,35.59
FGF19,Fibroblast growth factor 19,3.19,12.34
GAL,Galanin and GMAP prepropeptide,3.18,28.58
GH2,Growth hormone 2,3.18,31.7
SLC27A4,Solute carrier family 27 member 4,3.16,4.88
IL10RA,Interleukin 10 receptor subunit alpha,3.16,23.8
WDR91,WD repeat domain 91,3.15,14.61
UROD,Uroporphyrinogen decarboxylase,3.15,10.7
CSF2RA,Colony stimulating factor 2 receptor subunit alpha,3.12,49.43
GPI,Glucose-6-phosphate isomerase,3.12,8.17
MZT1,Mitotic spindle organizing protein 1,3.12,4.79
LILRA2,Leukocyte immunoglobulin like receptor A2,3.1,74.06
DNAJB4,DnaJ heat shock protein family (Hsp40) member B4,3.09,0.04
GPKOW,G-patch domain and KOW motifs,3.06,2.39
OMG,Oligodendrocyte myelin glycoprotein,3.06,21.82
CNTRL,Centriolin,3.06,4.71
COMP,Cartilage oligomeric matrix protein,3.06,14.54
PLSCR3,Phospholipid scramblase 3,3.04,0
TLR4,Toll like receptor 4,3.03,2.85
CPE,Carboxypeptidase E,3.03,18.48
BICD2,BICD cargo adaptor 2,3.03,5.88
TNFRSF10C,TNF receptor superfamily member 10c,3.02,66.9
MEIOC,Meiosis specific with coiled-coil domain,3.02,15
NEDD4L,NEDD4 like E3 ubiquitin protein ligase,3.02,9.4
SSR1,Signal sequence receptor subunit 1,3.01,24.64
LRRN1,Leucine rich repeat neuronal 1,3,59.46
KIF4B,Kinesin family member 4B,2.99,1.91
LSG1,Large 60S subunit nuclear export GTPase 1,2.99,18.06
PSAPL1,Prosaposin like 1,2.98,80.98
LAMP1,Lysosomal associated membrane protein 1,2.97,9.27
PVR,PVR cell adhesion molecule,2.97,50.83
DHRS4L2,Dehydrogenase/reductase 4 like 2,2.96,13.41
VEGFC,Vascular endothelial growth factor C,2.96,21.61
ATF2,Activating transcription factor 2,2.96,47.59
CCDC88B,Coiled-coil domain containing 88B,2.95,3.02
BST2,Bone marrow stromal cell antigen 2,2.95,31.97
VNN2,Vanin 2,2.94,52.37
CA2,Carbonic anhydrase 2,2.93,0
GLYR1,Glyoxylate reductase 1 homolog,2.93,6.38
GOT1,Glutamic-oxaloacetic transaminase 1,2.93,18.73
GLRX2,Glutaredoxin 2,2.92,8.84
FAM171A2,Family with sequence similarity 171 member A2,2.91,29.64
NAPRT,Nicotinate phosphoribosyltransferase,2.91,5.17
CTSF,Cathepsin F,2.91,35.75
ANP32E,Acidic nuclear phosphoprotein 32 family member E,2.91,1.46
LPXN,Leupaxin,2.91,8.23
GALNT7,Polypeptide N-acetylgalactosaminyltransferase 7,2.9,15.17
KIFAP3,Kinesin associated protein 3,2.9,28.2
CBS,Cystathionine beta-synthase,2.89,24.25
CEP295NL,CEP295 N-terminal like,2.89,30.94
PRSS53,Serine protease 53,2.89,77.5
VCAN,Versican,2.89,43.17
NEXN,Nexilin F-actin binding protein,2.88,10.87
MINDY2,MINDY lysine 48 deubiquitinase 2,2.88,18.28
TNFRSF11B,TNF receptor superfamily member 11b,2.87,31.74
MED6,Mediator complex subunit 6,2.86,27.11
TESMIN,Testis expressed metallothionein like protein,2.85,17.33
SPARCL1,SPARC like 1,2.85,58.72
CSTL1,Cystatin like 1,2.83,44.71
VPS37A,VPS37A subunit of ESCRT-I,2.82,6.29
CCL14,C-C motif chemokine ligand 14,2.81,34.91
PKD1,"Polycystin 1, transient receptor potential channel interacting",2.81,45.96
COMMD2,COMM domain containing 2,2.81,5.38
IFNGR2,Interferon gamma receptor 2,2.8,86.71
SIRT5,Sirtuin 5,2.8,15.52
HAVCR2,Hepatitis A virus cellular receptor 2,2.79,66.56
PSMD5,"Proteasome 26S subunit, non-ATPase 5",2.78,28.34
HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,2.78,3.14
MACROD2,Mono-ADP ribosylhydrolase 2,2.78,45.43
RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1,2.78,32.76
TCL1A,TCL1 family AKT coactivator A,2.77,9.7
GLRX5,Glutaredoxin 5,2.76,5.29
GORASP2,Golgi reassembly stacking protein 2,2.76,7.88
CNKSR1,Connector enhancer of kinase suppressor of Ras 1,2.76,19.51
MMP15,Matrix metallopeptidase 15,2.76,13.45
DHPS,Deoxyhypusine synthase,2.74,21.55
MACF1,Microtubule actin crosslinking factor 1,2.73,41.1
PLXNB2,Plexin B2,2.73,61.1
IL18RAP,Interleukin 18 receptor accessory protein,2.73,48.82
DCDC2B,Doublecortin domain containing 2B,2.72,31.41
HDDC3,HD domain containing 3,2.71,23.12
SIRPA,Signal regulatory protein alpha,2.71,79.33
FUT1,Fucosyltransferase 1 (H blood group),2.71,29.94
CLSTN3,Calsyntenin 3,2.71,25.9
SOD2,Superoxide dismutase 2,2.7,5.85
IL6R,Interleukin 6 receptor,2.7,72.82
LPL,Lipoprotein lipase,2.7,27.84
IL7,Interleukin 7,2.7,16.08
PON2,Paraoxonase 2,2.7,59.96
SGSH,N-sulfoglucosamine sulfohydrolase,2.69,39.47
GFRA3,GDNF family receptor alpha 3,2.69,35.46
MMP9,Matrix metallopeptidase 9,2.69,11.25
ROBO4,Roundabout guidance receptor 4,2.68,33.48
CTSZ,Cathepsin Z,2.68,49.35
IFNGR1,Interferon gamma receptor 1,2.67,36.6
NINJ1,Ninjurin 1,2.66,51.9
LGALS8,Galectin 8,2.66,9.49
DCBLD2,"Discoidin, CUB and LCCL domain containing 2",2.66,31.95
SOD1,Superoxide dismutase 1,2.65,3.17
GLIPR1,GLI pathogenesis related 1,2.65,39.27
GFM2,GTP dependent ribosome recycling factor mitochondrial 2,2.63,26.14
ADGRE1,Adhesion G protein-coupled receptor E1,2.63,61.84
XPNPEP2,X-prolyl aminopeptidase 2,2.62,73.54
ARL14EPL,ADP ribosylation factor like GTPase 14 effector protein like,2.62,46.12
IFNAR1,Interferon alpha and beta receptor subunit 1,2.61,33.94
GOLM1,Golgi membrane protein 1,2.61,9.21
EFHD1,EF-hand domain family member D1,2.6,26.59
NUDT5,Nudix hydrolase 5,2.6,8.4
LIFR,LIF receptor subunit alpha,2.58,28.09
STAM,Signal transducing adaptor molecule,2.58,7.5
CTSB,Cathepsin B,2.57,44.45
PODXL,Podocalyxin like,2.56,21.55
ULK4,Unc-51 like kinase 4,2.55,10.25
SOX4,SRY-box transcription factor 4,2.55,23.38
CLEC10A,C-type lectin domain containing 10A,2.54,44.47
DSC2,Desmocollin 2,2.54,41.97
PDGFA,Platelet derived growth factor subunit A,2.54,16.33
TPP1,Tripeptidyl peptidase 1,2.53,23.25
CD160,CD160 molecule,2.51,40.19
ADGRG1,Adhesion G protein-coupled receptor G1,2.5,25.81
S100A3,S100 calcium binding protein A3,2.5,12.25
IMMT,Inner membrane mitochondrial protein,2.5,14.24
PDGFRA,Platelet derived growth factor receptor alpha,2.49,36.34
NCS1,Neuronal calcium sensor 1,2.48,9.19
OXCT1,3-oxoacid CoA-transferase 1,2.48,4.1
GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,2.48,10.77
B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",2.48,54.23
PROM1,Prominin 1,2.47,8.02
SDC4,Syndecan 4,2.47,34.08
HTR1A,5-hydroxytryptamine receptor 1A,2.47,24.92
ADAM22,ADAM metallopeptidase domain 22,2.46,46.1
SPINK4,Serine peptidase inhibitor Kazal type 4,2.46,63.5
ZNF282,Zinc finger protein 282,2.46,35.46
TERF2IP,TERF2 interacting protein,2.46,9.16
LAMA4,Laminin subunit alpha 4,2.45,16.83
SNRPB2,Small nuclear ribonucleoprotein polypeptide B2,2.44,2.44
FEN1,Flap structure-specific endonuclease 1,2.44,4.89
STK24,Serine/threonine kinase 24,2.43,6.76
FCHSD2,FCH and double SH3 domains 2,2.43,4.44
C1orf131,Chromosome 1 open reading frame 131,2.43,3.87
HIF1A,Hypoxia inducible factor 1 subunit alpha,2.42,26.41
CTSL,Cathepsin L,2.42,13.84
FGFR4,Fibroblast growth factor receptor 4,2.41,84.17
PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,2.4,5.35
MSR1,Macrophage scavenger receptor 1,2.4,60.77
IL13RA1,Interleukin 13 receptor subunit alpha 1,2.38,48.2
GOLM2,Golgi membrane protein 2,2.37,18.91
DPP7,Dipeptidyl peptidase 7,2.37,40.75
PIGR,Polymeric immunoglobulin receptor,2.36,29.83
KYAT1,Kynurenine aminotransferase 1,2.35,7.31
RNF149,Ring finger protein 149,2.35,36.89
CDK5RAP3,CDK5 regulatory subunit associated protein 3,2.34,3.21
PAG1,Phosphoprotein membrane anchor with glycosphingolipid microdomains 1,2.34,10.13
MANSC1,MANSC domain containing 1,2.34,44.43
KDR,Kinase insert domain receptor,2.33,53.76
TEDC2,Tubulin epsilon and delta complex 2,2.32,30.43
TMPRSS11D,Transmembrane serine protease 11D,2.31,31.97
NADK,NAD kinase,2.31,14.73
EPHB4,EPH receptor B4,2.3,49.43
LHB,Luteinizing hormone subunit beta,2.29,26.85
ANK2,Ankyrin 2,2.29,15.54
VEGFA,Vascular endothelial growth factor A,2.29,38.47
UMOD,Uromodulin,2.28,84.72
SCPEP1,Serine carboxypeptidase 1,2.28,7.4
MEOX1,Mesenchyme homeobox 1,2.27,14.3
ARHGAP1,Rho GTPase activating protein 1,2.27,18.04
TMPRSS15,Transmembrane serine protease 15,2.27,38.02
FH,Fumarate hydratase,2.27,25.86
EPN3,Epsin 3,2.26,24.89
PKD2,"Polycystin 2, transient receptor potential cation channel",2.25,6.39
CHGB,Chromogranin B,2.24,26.09
PIK3IP1,Phosphoinositide-3-kinase interacting protein 1,2.24,40.45
PSTPIP1,Proline-serine-threonine phosphatase interacting protein 1,2.24,4.13
GSAP,Gamma-secretase activating protein,2.23,21.4
EPDR1,Ependymin related 1,2.19,9.43
FNBP4,Formin binding protein 4,2.19,17.57
IGF1R,Insulin like growth factor 1 receptor,2.19,24.24
TOX,Thymocyte selection associated high mobility group box,2.19,15.89
ENTR1,Endosome associated trafficking regulator 1,2.19,3.76
SIGLEC8,Sialic acid binding Ig like lectin 8,2.19,63.04
TMEM106A,Transmembrane protein 106A,2.18,10.81
SPATS2,Spermatogenesis associated serine rich 2,2.18,17.84
SMOC2,SPARC related modular calcium binding 2,2.18,21.46
SIRPB1,Signal regulatory protein beta 1,2.18,74.58
PILRB,Paired immunoglobin like type 2 receptor beta,2.18,76.14
RBPMS,"RNA binding protein, mRNA processing factor",2.18,7.69
TDP1,Tyrosyl-DNA phosphodiesterase 1,2.18,9.19
NOL3,Nucleolar protein 3,2.18,18.86
CD200,CD200 molecule,2.17,21.72
TXNDC15,Thioredoxin domain containing 15,2.17,45.99
CLEC14A,C-type lectin domain containing 14A,2.17,38.15
PYHIN1,Pyrin and HIN domain family member 1,2.16,0
IL1RN,Interleukin 1 receptor antagonist,2.15,12.04
TIMM10,Translocase of inner mitochondrial membrane 10,2.15,4.93
KAZALD1,Kazal type serine peptidase inhibitor domain 1,2.15,32.39
AKAP11,A-kinase anchoring protein 11,2.14,26.52
PLAUR,"Plasminogen activator, urokinase receptor",2.14,40.69
IL18R1,Interleukin 18 receptor 1,2.14,63.36
TP53I3,Tumor protein p53 inducible protein 3,2.12,17.79
FABP3,Fatty acid binding protein 3,2.11,25.14
HPCAL4,Hippocalcin like 4,2.11,12.76
MARCO,Macrophage receptor with collagenous structure,2.11,15.08
CWC15,CWC15 spliceosome associated protein homolog,2.11,11.88
GBP1,Guanylate binding protein 1,2.11,15.28
CD1C,CD1c molecule,2.1,51.75
CD274,CD274 molecule,2.08,32.55
FIGN,"Fidgetin, microtubule severing factor",2.08,22.12
CCDC117,Coiled-coil domain containing 117,2.08,5.61
LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,2.07,8.86
SIAE,Sialic acid acetylesterase,2.07,10.83
AZU1,Azurocidin 1,2.06,1.95
ENPEP,Glutamyl aminopeptidase,2.06,5.89
PAMR1,Peptidase domain containing associated with muscle regeneration 1,2.06,45.71
CHL1,Cell adhesion molecule L1 like,2.05,58.73
IL4R,Interleukin 4 receptor,2.04,25.66
CA1,Carbonic anhydrase 1,2.04,1.96
FAM90A10,Family with sequence similarity 90 member A10,2.04,56.9
PI16,Peptidase inhibitor 16,2.03,31.16
BLOC1S2,Biogenesis of lysosomal organelles complex 1 subunit 2,2.03,29.19
CNGB3,Cyclic nucleotide gated channel subunit beta 3,2.02,9.18
SRY,Sex determining region Y,2.02,31.64
CEP55,Centrosomal protein 55,2.02,5.71
GZMH,Granzyme H,2,20.22
LENG1,Leukocyte receptor cluster member 1,2,14.03
TCHH,Trichohyalin,1.99,37.29
VCAM1,Vascular cell adhesion molecule 1,1.98,1.22
USHBP1,USH1 protein network component harmonin binding protein 1,1.97,30.25
TBC1D28,TBC1 domain family member 28,1.97,23.14
EPO,Erythropoietin,1.97,25.67
ANXA2,Annexin A2,1.97,33.5
FMR1,Fragile X messenger ribonucleoprotein 1,1.97,10.38
TNR,Tenascin R,1.97,62.78
IL17RA,Interleukin 17 receptor A,1.96,85.8
CAP2,Cyclase associated actin cytoskeleton regulatory protein 2,1.96,24.39
TFPI2,Tissue factor pathway inhibitor 2,1.96,29.71
HBQ1,Hemoglobin subunit theta 1,1.95,6.03
HECA,"Hdc homolog, cell cycle regulator",1.95,21.02
FCRL6,Fc receptor like 6,1.95,78.44
RUNDC3A,RUN domain containing 3A,1.95,27.29
C16orf96,Chromosome 16 open reading frame 96,1.94,31.77
ADAM8,ADAM metallopeptidase domain 8,1.94,19.48
MAMDC2,MAM domain containing 2,1.94,18.66
RUVBL1,RuvB like AAA ATPase 1,1.94,15.85
RIDA,Reactive intermediate imine deaminase A homolog,1.94,8.13
SMPD1,Sphingomyelin phosphodiesterase 1,1.94,46.96
LILRB5,Leukocyte immunoglobulin like receptor B5,1.93,93.06
BECN1,Beclin 1,1.93,3.91
GKN1,Gastrokine 1,1.92,20.64
C17orf49,Chromosome 17 open reading frame 49,1.92,5.47
ELOA,Elongin A,1.92,0
TALDO1,Transaldolase 1,1.92,8.89
EEF1D,Eukaryotic translation elongation factor 1 delta,1.91,3.02
ESAM,Endothelial cell adhesion molecule,1.9,18.59
RIBC1,RIB43A domain with coiled-coils 1,1.9,15.08
FETUB,Fetuin B,1.9,29.85
FOLH1,Folate hydrolase 1,1.89,64.7
NT5E,5'-nucleotidase ecto,1.89,41.89
SIGLEC5,Sialic acid binding Ig like lectin 5,1.89,94.18
STAB2,Stabilin 2,1.88,61.94
LGALS3,Galectin 3,1.88,21.48
FARSA,Phenylalanyl-tRNA synthetase subunit alpha,1.88,7.01
HTRA2,HtrA serine peptidase 2,1.87,7.69
SLC5A5,Solute carrier family 5 member 5,1.87,13.64
RETN,Resistin,1.87,33.39
RNASET2,Ribonuclease T2,1.86,39.87
GARRE1,Granule associated Rac and RHOG effector 1,1.85,24.99
SRCIN1,SRC kinase signaling inhibitor 1,1.85,25.49
REG1B,Regenerating family member 1 beta,1.85,21.2
AMY1B,Amylase alpha 1B,1.85,64.32
AMY1C,Amylase alpha 1C,1.85,64.32
AMY1A,Amylase alpha 1A,1.85,64.32
AMY2B,Amylase alpha 2B,1.85,64.32
AMY2A,Amylase alpha 2A,1.85,64.32
FCGR2A,Fc gamma receptor IIa,1.84,81.87
HOOK2,Hook microtubule tethering protein 2,1.84,2.17
KLK8,Kallikrein related peptidase 8,1.83,40.61
GIGYF2,GRB10 interacting GYF protein 2,1.83,6.82
CALCB,Calcitonin related polypeptide beta,1.82,44.96
CD300E,CD300e molecule,1.82,41.78
CEP120,Centrosomal protein 120,1.82,5.98
LILRA4,Leukocyte immunoglobulin like receptor A4,1.82,21.15
CIT,Citron rho-interacting serine/threonine kinase,1.82,7.86
TCOF1,Treacle ribosome biogenesis factor 1,1.81,12.31
MUC20,"Mucin 20, cell surface associated",1.81,57.08
GRSF1,G-rich RNA sequence binding factor 1,1.81,2.86
GMNN,Geminin DNA replication inhibitor,1.81,12.79
FABP9,Fatty acid binding protein 9,1.81,48.01
PHLDB3,Pleckstrin homology like domain family B member 3,1.81,21.6
PRR23A,Proline rich 23A,1.8,18.74
PTGDS,Prostaglandin D2 synthase,1.8,31.73
ASGR2,Asialoglycoprotein receptor 2,1.79,41.05
RNF227,Ring finger protein 227,1.79,43.08
DDX49,DEAD-box helicase 49,1.79,26.14
CDK11A,Cyclin dependent kinase 11A,1.78,6.84
IL12RB1,Interleukin 12 receptor subunit beta 1,1.78,22.43
DDT,D-dopachrome tautomerase,1.78,5.72
AHSP,Alpha hemoglobin stabilizing protein,1.78,14.95
DYNC1H1,Dynein cytoplasmic 1 heavy chain 1,1.77,8.11
SERPINI2,Serpin family I member 2,1.76,72.5
LRIT2,"Leucine rich repeat, Ig-like and transmembrane domains 2",1.76,14.8
SRGAP2B,SLIT-ROBO Rho GTPase activating protein 2B,1.75,11.96
EGFR,Epidermal growth factor receptor,1.74,30.37
STAU1,Staufen double-stranded RNA binding protein 1,1.74,22.14
LZTFL1,Leucine zipper transcription factor like 1,1.73,9.35
FOLR3,Folate receptor gamma,1.73,97.37
ELFN2,Extracellular leucine rich repeat and fibronectin type III domain containing 2,1.73,23.18
BST1,Bone marrow stromal cell antigen 1,1.73,92.4
CASP4,Caspase 4,1.72,39.55
ANKRD53,Ankyrin repeat domain 53,1.72,21.47
SPINK6,Serine peptidase inhibitor Kazal type 6,1.72,29.42
MMP10,Matrix metallopeptidase 10,1.72,12.56
FUCA1,Alpha-L-fucosidase 1,1.72,89.09
TCERG1,Transcription elongation regulator 1,1.71,0
OS9,OS9 endoplasmic reticulum lectin,1.71,28.37
TIMP2,TIMP metallopeptidase inhibitor 2,1.71,8.83
CLEC4E,C-type lectin domain family 4 member E,1.71,23.74
ARHGEF5,Rho guanine nucleotide exchange factor 5,1.71,38.17
ANGPTL7,Angiopoietin like 7,1.7,54.27
NAMPT,Nicotinamide phosphoribosyltransferase,1.69,7.81
GTF3C2,General transcription factor IIIC subunit 2,1.68,0.29
PTK7,Protein tyrosine kinase 7 (inactive),1.68,30.37
MYO1E,Myosin IE,1.67,25.85
PGLYRP4,Peptidoglycan recognition protein 4,1.67,27.25
CTTNBP2NL,CTTNBP2 N-terminal like,1.67,31.3
COLEC11,Collectin subfamily member 11,1.67,34.32
UBAC1,UBA domain containing 1,1.67,1.17
TNFRSF12A,TNF receptor superfamily member 12A,1.66,19.14
GNE,Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,1.66,1.95
IQCC,IQ motif containing C,1.66,18.78
CCT5,Chaperonin containing TCP1 subunit 5,1.66,2.12
THEGL,Theg spermatid protein like,1.66,29.18
DECR1,"2,4-dienoyl-CoA reductase 1",1.64,6.51
STRN,Striatin,1.64,8.36
INO80,INO80 complex ATPase subunit,1.64,25.64
MAPK12,Mitogen-activated protein kinase 12,1.64,28.54
DNAJA2,DnaJ heat shock protein family (Hsp40) member A2,1.63,6.77
CYB5R2,Cytochrome b5 reductase 2,1.63,19.15
NOMO1,NODAL modulator 1,1.63,39.54
RLN3,Relaxin 3,1.63,17
RBP2,Retinol binding protein 2,1.62,12.71
RNASE6,Ribonuclease A family member k6,1.61,46.05
GOLGA6A,Golgin A6 family member A,1.61,28.84
PRPH,Peripherin,1.59,15.2
POF1B,POF1B actin binding protein,1.59,25.37
BCL2,BCL2 apoptosis regulator,1.59,14.94
IGDCC4,Immunoglobulin superfamily DCC subclass member 4,1.58,31.22
IL2RG,Interleukin 2 receptor subunit gamma,1.57,9.95
TCTN3,Tectonic family member 3,1.56,55.63
H1-6,"H1.6 linker histone, cluster member",1.56,24.89
CEACAM1,CEA cell adhesion molecule 1,1.56,39.31
GID8,GID complex subunit 8 homolog,1.55,15.89
GRK3,G protein-coupled receptor kinase 3,1.55,17.87
IQGAP2,IQ motif containing GTPase activating protein 2,1.55,9.64
CXCL16,C-X-C motif chemokine ligand 16,1.55,40.18
SPATA18,Spermatogenesis associated 18,1.54,31.12
FANK1,Fibronectin type III and ankyrin repeat domains 1,1.54,36.99
ZHX2,Zinc fingers and homeoboxes 2,1.53,2.93
BLNK,B cell linker,1.53,15.12
C1QL2,Complement C1q like 2,1.52,54.23
IL13,Interleukin 13,1.52,25.88
ECHS1,"Enoyl-CoA hydratase, short chain 1",1.51,8.5
AFP,Alpha fetoprotein,1.51,54.5
LAMB2,Laminin subunit beta 2,1.51,59.36
CRYBB2,Crystallin beta B2,1.51,69.6
BAIAP2L2,BAR/IMD domain containing adaptor protein 2 like 2,1.51,29.7
SCLT1,Sodium channel and clathrin linker 1,1.5,11.9
CXCL10,C-X-C motif chemokine ligand 10,1.5,14.12
MTPN,Myotrophin,1.49,10.17
APBB1,Amyloid beta precursor protein binding family B member 1,1.49,25.57
WFDC12,WAP four-disulfide core domain 12,1.49,55.54
PTPMT1,Protein tyrosine phosphatase mitochondrial 1,1.49,28.16
RBP5,Retinol binding protein 5,1.49,18.35
MICAL3,"Microtubule associated monooxygenase, calponin and LIM domain containing 3",1.49,2.1
LATS1,Large tumor suppressor kinase 1,1.49,8.56
CAPG,"Capping actin protein, gelsolin like",1.49,6.45
APEX1,Apurinic/apyrimidinic endodeoxyribonuclease 1,1.48,0.01
RITA1,RBPJ interacting and tubulin associated 1,1.47,22.33
RRP1,Ribosomal RNA processing 1,1.47,26.26
CXCL3,C-X-C motif chemokine ligand 3,1.46,13.7
UBTF,Upstream binding transcription factor,1.46,7.73
VTI1A,Vesicle transport through interaction with t-SNAREs 1A,1.46,1.21
CHCHD10,Coiled-coil-helix-coiled-coil-helix domain containing 10,1.46,4.48
MYOM2,Myomesin 2,1.45,11.96
PNP,Purine nucleoside phosphorylase,1.45,30.19
SPECC1,Sperm antigen with calponin homology and coiled-coil domains 1,1.43,14.9
NAV2,Neuron navigator 2,1.42,18.47
PPT1,Palmitoyl-protein thioesterase 1,1.42,15.56
ANKRD55,Ankyrin repeat domain 55,1.42,41.68
HSPG2,Heparan sulfate proteoglycan 2,1.42,23.23
RAB37,"RAB37, member RAS oncogene family",1.4,7.42
PFDN2,Prefoldin subunit 2,1.4,8.58
RSRC1,Arginine and serine rich coiled-coil 1,1.39,8.36
SPATA2L,Spermatogenesis associated 2 like,1.38,21.48
LRRC25,Leucine rich repeat containing 25,1.38,49.51
ANKRD11,Ankyrin repeat domain containing 11,1.38,26.94
LYPD8,LY6/PLAUR domain containing 8,1.38,59.71
AK1,Adenylate kinase 1,1.37,1.93
CSNK2A1,Casein kinase 2 alpha 1,1.37,16.93
HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0,1.36,19.75
CEACAM8,CEA cell adhesion molecule 8,1.36,15.84
PECAM1,Platelet and endothelial cell adhesion molecule 1,1.36,36.23
VSIG10,V-set and immunoglobulin domain containing 10,1.35,50.99
MAG,Myelin associated glycoprotein,1.34,25.34
MRC1,Mannose receptor C-type 1,1.34,44.8
LY75,Lymphocyte antigen 75,1.33,63.73
SLIRP,SRA stem-loop interacting RNA binding protein,1.33,14.65
LEKR1,"Leucine, glutamate and lysine rich 1",1.33,20.62
ADGRB1,Adhesion G protein-coupled receptor B1,1.32,17.72
CD58,CD58 molecule,1.32,36.62
CD200R1,CD200 receptor 1,1.32,79.88
PDGFB,Platelet derived growth factor subunit B,1.31,18.43
HIP1,Huntingtin interacting protein 1,1.3,6.62
LUC7L,LUC7 like,1.3,0.2
TSLP,Thymic stromal lymphopoietin,1.29,22.5
FGL1,Fibrinogen like 1,1.29,35.88
THPO,Thrombopoietin,1.28,15.11
TNFSF14,TNF superfamily member 14,1.28,11.58
NCAM2,Neural cell adhesion molecule 2,1.27,68.52
PRR18,Proline rich 18,1.27,20.27
SPRING1,SREBF pathway regulator in golgi 1,1.27,15.71
LCAT,Lecithin-cholesterol acyltransferase,1.27,28.8
ACSL1,Acyl-CoA synthetase long chain family member 1,1.27,35.11
MYL6B,Myosin light chain 6B,1.26,25.01
VIL1,Villin 1,1.26,14.65
PDCD1LG2,Programmed cell death 1 ligand 2,1.26,65.08
FCER1A,Fc epsilon receptor Ia,1.26,11.14
