Gene,Gene description,Concentration
H4C14,H4 clustered histone 14,120 µg/L
H4C12,H4 clustered histone 12,120 µg/L
H4C6,H4 clustered histone 6,120 µg/L
H4C13,H4 clustered histone 13,120 µg/L
H4C9,H4 clustered histone 9,120 µg/L
H4C5,H4 clustered histone 5,120 µg/L
H4C4,H4 clustered histone 4,120 µg/L
H4C1,H4 clustered histone 1,120 µg/L
H4C2,H4 clustered histone 2,120 µg/L
DSP,Desmoplakin,110 µg/L
TUBB4A,Tubulin beta 4A class IVa,110 µg/L
CKM,"Creatine kinase, M-type",110 µg/L
PTPRS,Protein tyrosine phosphatase receptor type S,110 µg/L
ALDOC,"Aldolase, fructose-bisphosphate C",110 µg/L
PRDX1,Peroxiredoxin 1,110 µg/L
KRT36,Keratin 36,110 µg/L
CHI3L1,Chitinase 3 like 1,110 µg/L
PEBP4,Phosphatidylethanolamine binding protein 4,110 µg/L
IL6ST,Interleukin 6 cytokine family signal transducer,110 µg/L
CNPY3,Canopy FGF signaling regulator 3,110 µg/L
CNTN4,Contactin 4,110 µg/L
HYOU1,Hypoxia up-regulated 1,110 µg/L
IGFBP7,Insulin like growth factor binding protein 7,110 µg/L
CAVIN2,Caveolae associated protein 2,110 µg/L
FTL,Ferritin light chain,100 µg/L
YWHAE,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon,100 µg/L
DSG1,Desmoglein 1,100 µg/L
KRT86,Keratin 86,100 µg/L
KRT38,Keratin 38,100 µg/L
CYCS,"Cytochrome c, somatic",100 µg/L
TUBA8,Tubulin alpha 8,100 µg/L
KRT18,Keratin 18,99 µg/L
CDHR5,Cadherin related family member 5,98 µg/L
MAN2A1,Mannosidase alpha class 2A member 1,98 µg/L
KRT71,Keratin 71,98 µg/L
P4HB,Prolyl 4-hydroxylase subunit beta,98 µg/L
OGN,Osteoglycin,96 µg/L
APP,Amyloid beta precursor protein,96 µg/L
EEF1A1,Eukaryotic translation elongation factor 1 alpha 1,96 µg/L
NOTCH2,Notch receptor 2,95 µg/L
KRT33A,Keratin 33A,93 µg/L
PLS3,Plastin 3,93 µg/L
PIP,Prolactin induced protein,93 µg/L
CPA1,Carboxypeptidase A1,92 µg/L
NECTIN1,Nectin cell adhesion molecule 1,92 µg/L
PRDX6,Peroxiredoxin 6,91 µg/L
TUBB3,Tubulin beta 3 class III,91 µg/L
TUBB1,Tubulin beta 1 class VI,90 µg/L
KRT83,Keratin 83,90 µg/L
COL1A1,Collagen type I alpha 1 chain,89 µg/L
TMEM132C,Transmembrane protein 132C,89 µg/L
HSPA2,Heat shock protein family A (Hsp70) member 2,88 µg/L
ANGPTL3,Angiopoietin like 3,88 µg/L
SSC5D,Scavenger receptor cysteine rich family member with 5 domains,88 µg/L
H2AX,H2A.X variant histone,88 µg/L
MB,Myoglobin,87 µg/L
KRT81,Keratin 81,87 µg/L
FUCA2,Alpha-L-fucosidase 2,86 µg/L
NRCAM,Neuronal cell adhesion molecule,86 µg/L
APMAP,Adipocyte plasma membrane associated protein,86 µg/L
L1CAM,L1 cell adhesion molecule,86 µg/L
HSP90AA1,Heat shock protein 90 alpha family class A member 1,85 µg/L
LAMC1,Laminin subunit gamma 1,85 µg/L
LILRA2,Leukocyte immunoglobulin like receptor A2,85 µg/L
MPO,Myeloperoxidase,84 µg/L
ENO3,Enolase 3,84 µg/L
ACTN4,Actinin alpha 4,84 µg/L
LSAMP,Limbic system associated membrane protein,84 µg/L
AKR1B10,Aldo-keto reductase family 1 member B10,84 µg/L
PDLIM1,PDZ and LIM domain 1,83 µg/L
HSPD1,Heat shock protein family D (Hsp60) member 1,83 µg/L
TIMP2,TIMP metallopeptidase inhibitor 2,82 µg/L
VCP,Valosin containing protein,82 µg/L
DMBT1,Deleted in malignant brain tumors 1,82 µg/L
FGL1,Fibrinogen like 1,81 µg/L
NCAM2,Neural cell adhesion molecule 2,81 µg/L
YWHAG,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,81 µg/L
UMOD,Uromodulin,80 µg/L
THBS2,Thrombospondin 2,80 µg/L
TPR,"Translocated promoter region, nuclear basket protein",79 µg/L
PTN,Pleiotrophin,79 µg/L
ICOSLG,Inducible T cell costimulator ligand,79 µg/L
AEBP1,AE binding protein 1,78 µg/L
LTA4H,Leukotriene A4 hydrolase,78 µg/L
YWHAQ,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,78 µg/L
GSTO1,Glutathione S-transferase omega 1,78 µg/L
CPB1,Carboxypeptidase B1,78 µg/L
PGAM1,Phosphoglycerate mutase 1,78 µg/L
OAF,Out at first homolog,78 µg/L
PLXND1,Plexin D1,77 µg/L
CAP1,Cyclase associated actin cytoskeleton regulatory protein 1,77 µg/L
KRT85,Keratin 85,77 µg/L
CTSB,Cathepsin B,77 µg/L
PTPRM,Protein tyrosine phosphatase receptor type M,77 µg/L
GOT1,Glutamic-oxaloacetic transaminase 1,76 µg/L
RPL8,Ribosomal protein L8,76 µg/L
WDR1,WD repeat domain 1,75 µg/L
MDK,Midkine,75 µg/L
CNTN3,Contactin 3,75 µg/L
CHGA,Chromogranin A,74 µg/L
ISLR,Immunoglobulin superfamily containing leucine rich repeat,74 µg/L
PRG2,"Proteoglycan 2, pro eosinophil major basic protein",74 µg/L
TFRC,Transferrin receptor,73 µg/L
MYL6,Myosin light chain 6,73 µg/L
KRT78,Keratin 78,73 µg/L
KRT12,Keratin 12,73 µg/L
SPON1,Spondin 1,73 µg/L
MET,"MET proto-oncogene, receptor tyrosine kinase",72 µg/L
GOLM1,Golgi membrane protein 1,72 µg/L
LMAN2,"Lectin, mannose binding 2",72 µg/L
HSPA1L,Heat shock protein family A (Hsp70) member 1 like,71 µg/L
FAP,Fibroblast activation protein alpha,70 µg/L
HSP90AB1,Heat shock protein 90 alpha family class B member 1,70 µg/L
OIT3,Oncoprotein induced transcript 3,70 µg/L
ADAMTSL4,ADAMTS like 4,70 µg/L
AMY1B,Amylase alpha 1B,70 µg/L
SIRPA,Signal regulatory protein alpha,70 µg/L
CR1,Complement C3b/C4b receptor 1 (Knops blood group),69 µg/L
AFP,Alpha fetoprotein,68 µg/L
MFAP4,Microfibril associated protein 4,68 µg/L
HSPA1A,Heat shock protein family A (Hsp70) member 1A,68 µg/L
HLA-E,"Major histocompatibility complex, class I, E",68 µg/L
GPI,Glucose-6-phosphate isomerase,67 µg/L
ACAN,Aggrecan,67 µg/L
GRN,Granulin precursor,66 µg/L
CLSTN1,Calsyntenin 1,66 µg/L
COLEC10,Collectin subfamily member 10,66 µg/L
PECAM1,Platelet and endothelial cell adhesion molecule 1,66 µg/L
CALM1,Calmodulin 1,65 µg/L
CD99,CD99 molecule (Xg blood group),64 µg/L
GSR,Glutathione-disulfide reductase,64 µg/L
AHNAK,AHNAK nucleoprotein,64 µg/L
YWHAH,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta,64 µg/L
PRKCSH,Protein kinase C substrate 80K-H,64 µg/L
TLN2,Talin 2,64 µg/L
BPGM,Bisphosphoglycerate mutase,64 µg/L
THUMPD1,THUMP domain containing 1,63 µg/L
B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",63 µg/L
DAG1,Dystroglycan 1,63 µg/L
SFRP1,Secreted frizzled related protein 1,62 µg/L
MYH10,Myosin heavy chain 10,62 µg/L
PAM,Peptidylglycine alpha-amidating monooxygenase,62 µg/L
PLXNB1,Plexin B1,62 µg/L
PSAP,Prosaposin,62 µg/L
CEACAM1,CEA cell adhesion molecule 1,61 µg/L
MMP9,Matrix metallopeptidase 9,61 µg/L
ENO2,Enolase 2,61 µg/L
ARHGDIB,Rho GDP dissociation inhibitor beta,60 µg/L
ADGRG6,Adhesion G protein-coupled receptor G6,60 µg/L
SPP1,Secreted phosphoprotein 1,60 µg/L
H3-3B,H3.3 histone B,60 µg/L
EGFR,Epidermal growth factor receptor,60 µg/L
H3-3A,H3.3 histone A,60 µg/L
TIE1,Tyrosine kinase with immunoglobulin like and EGF like domains 1,59 µg/L
FCRL5,Fc receptor like 5,59 µg/L
SELENBP1,Selenium binding protein 1,59 µg/L
JUP,Junction plakoglobin,59 µg/L
TUBB6,Tubulin beta 6 class V,59 µg/L
RNASE4,Ribonuclease A family member 4,59 µg/L
CTSZ,Cathepsin Z,58 µg/L
ALDH1A1,Aldehyde dehydrogenase 1 family member A1,58 µg/L
GSTP1,Glutathione S-transferase pi 1,57 µg/L
EEF1A2,Eukaryotic translation elongation factor 1 alpha 2,57 µg/L
PLBD1,Phospholipase B domain containing 1,57 µg/L
PNP,Purine nucleoside phosphorylase,57 µg/L
GDI2,GDP dissociation inhibitor 2,56 µg/L
LILRA1,Leukocyte immunoglobulin like receptor A1,56 µg/L
PRB2,Proline rich protein BstNI subfamily 2,56 µg/L
KRT34,Keratin 34,56 µg/L
SLC38A10,Solute carrier family 38 member 10,56 µg/L
SPTA1,"Spectrin alpha, erythrocytic 1",56 µg/L
RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,56 µg/L
LAMA2,Laminin subunit alpha 2,56 µg/L
PLA2G15,Phospholipase A2 group XV,55 µg/L
LILRB5,Leukocyte immunoglobulin like receptor B5,55 µg/L
PLXNB2,Plexin B2,55 µg/L
ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit,54 µg/L
ITGB3,Integrin subunit beta 3,54 µg/L
ADGRF5,Adhesion G protein-coupled receptor F5,53 µg/L
ADA2,Adenosine deaminase 2,53 µg/L
DPEP3,Dipeptidase 3,53 µg/L
TREML1,Triggering receptor expressed on myeloid cells like 1,53 µg/L
EXTL2,Exostosin like glycosyltransferase 2,53 µg/L
IGKV6D-41,Immunoglobulin kappa variable 6D-41 (non-functional),53 µg/L
STAB1,Stabilin 1,52 µg/L
B4GALT1,"Beta-1,4-galactosyltransferase 1",52 µg/L
CORO1A,Coronin 1A,52 µg/L
MEGF9,Multiple EGF like domains 9,52 µg/L
SOD1,Superoxide dismutase 1,52 µg/L
MMRN2,Multimerin 2,51 µg/L
CSPG4,Chondroitin sulfate proteoglycan 4,51 µg/L
BASP1,Brain abundant membrane attached signal protein 1,51 µg/L
FUCA1,Alpha-L-fucosidase 1,51 µg/L
NOTCH4,Notch receptor 4,51 µg/L
CTSA,Cathepsin A,50 µg/L
MYH11,Myosin heavy chain 11,50 µg/L
SH3BGRL3,SH3 domain binding glutamate rich protein like 3,50 µg/L
KRT84,Keratin 84,50 µg/L
ENPEP,Glutamyl aminopeptidase,49 µg/L
OSCAR,Osteoclast associated Ig-like receptor,49 µg/L
DCN,Decorin,48 µg/L
REG1A,Regenerating family member 1 alpha,48 µg/L
SPINK5,Serine peptidase inhibitor Kazal type 5,48 µg/L
ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,48 µg/L
RELN,Reelin,48 µg/L
MYO18A,Myosin XVIIIA,48 µg/L
SPTB,"Spectrin beta, erythrocytic",47 µg/L
RECK,Reversion inducing cysteine rich protein with kazal motifs,47 µg/L
FLG2,Filaggrin 2,47 µg/L
CRHBP,Corticotropin releasing hormone binding protein,47 µg/L
FGFR1,Fibroblast growth factor receptor 1,46 µg/L
MYH1,Myosin heavy chain 1,46 µg/L
KIT,"KIT proto-oncogene, receptor tyrosine kinase",46 µg/L
B4GAT1,"Beta-1,4-glucuronyltransferase 1",46 µg/L
HLA-G,"Major histocompatibility complex, class I, G",46 µg/L
PAPLN,"Papilin, proteoglycan like sulfated glycoprotein",45 µg/L
CALD1,Caldesmon 1,45 µg/L
SUMF1,Sulfatase modifying factor 1,45 µg/L
DCHS1,Dachsous cadherin-related 1,45 µg/L
CST6,Cystatin E/M,45 µg/L
LPL,Lipoprotein lipase,45 µg/L
ANGPTL6,Angiopoietin like 6,44 µg/L
C1orf56,Chromosome 1 open reading frame 56,44 µg/L
SLC4A1,Solute carrier family 4 member 1 (Diego blood group),43 µg/L
PGD,Phosphogluconate dehydrogenase,43 µg/L
LRP8,LDL receptor related protein 8,43 µg/L
CD34,CD34 molecule,43 µg/L
PSG1,Pregnancy specific beta-1-glycoprotein 1,43 µg/L
MDH1,Malate dehydrogenase 1,42 µg/L
VIM,Vimentin,42 µg/L
VCAN,Versican,42 µg/L
EZR,Ezrin,42 µg/L
MEGF10,Multiple EGF like domains 10,42 µg/L
ESAM,Endothelial cell adhesion molecule,42 µg/L
SFN,Stratifin,42 µg/L
CEACAM6,CEA cell adhesion molecule 6,41 µg/L
NOTCH3,Notch receptor 3,40 µg/L
FCGR2A,Fc gamma receptor IIa,40 µg/L
CA3,Carbonic anhydrase 3,40 µg/L
PAPPA,Pappalysin 1,40 µg/L
PEBP1,Phosphatidylethanolamine binding protein 1,39 µg/L
PLXNA1,Plexin A1,39 µg/L
MYH2,Myosin heavy chain 2,39 µg/L
RDX,Radixin,39 µg/L
KRT20,Keratin 20,39 µg/L
HSPA6,Heat shock protein family A (Hsp70) member 6,39 µg/L
CLIC1,Chloride intracellular channel 1,39 µg/L
MYH4,Myosin heavy chain 4,39 µg/L
CD59,CD59 molecule (CD59 blood group),38 µg/L
RSU1,Ras suppressor protein 1,38 µg/L
AXL,AXL receptor tyrosine kinase,38 µg/L
THBS3,Thrombospondin 3,38 µg/L
PEAR1,Platelet endothelial aggregation receptor 1,38 µg/L
IGHE,Immunoglobulin heavy constant epsilon,38 µg/L
PSG3,Pregnancy specific beta-1-glycoprotein 3,38 µg/L
MADCAM1,Mucosal vascular addressin cell adhesion molecule 1,37 µg/L
IGDCC4,Immunoglobulin superfamily DCC subclass member 4,37 µg/L
UQCRB,Ubiquinol-cytochrome c reductase binding protein,37 µg/L
PSG6,Pregnancy specific beta-1-glycoprotein 6,37 µg/L
TALDO1,Transaldolase 1,37 µg/L
SOD2,Superoxide dismutase 2,37 µg/L
CPQ,Carboxypeptidase Q,36 µg/L
PSMA2,Proteasome 20S subunit alpha 2,36 µg/L
PARK7,Parkinsonism associated deglycase,36 µg/L
FLNC,Filamin C,36 µg/L
ALAD,Aminolevulinate dehydratase,36 µg/L
MERTK,"MER proto-oncogene, tyrosine kinase",36 µg/L
VSIG4,V-set and immunoglobulin domain containing 4,36 µg/L
SFTPB,Surfactant protein B,36 µg/L
IGLV4-3,Immunoglobulin lambda variable 4-3,36 µg/L
SERPINB1,Serpin family B member 1,35 µg/L
NUCB1,Nucleobindin 1,35 µg/L
PLS1,Plastin 1,35 µg/L
EXT2,Exostosin glycosyltransferase 2,35 µg/L
FABP1,Fatty acid binding protein 1,35 µg/L
CFL2,Cofilin 2,35 µg/L
BGN,Biglycan,35 µg/L
CES1,Carboxylesterase 1,35 µg/L
MRC2,Mannose receptor C type 2,34 µg/L
WARS1,Tryptophanyl-tRNA synthetase 1,34 µg/L
SNCA,Synuclein alpha,34 µg/L
FSTL1,Follistatin like 1,34 µg/L
B3GNT8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",34 µg/L
KPRP,Keratinocyte proline rich protein,34 µg/L
GDI1,GDP dissociation inhibitor 1,34 µg/L
AOC1,Amine oxidase copper containing 1,33 µg/L
BLMH,Bleomycin hydrolase,33 µg/L
PTPRD,Protein tyrosine phosphatase receptor type D,33 µg/L
ART3,ADP-ribosyltransferase 3 (inactive),33 µg/L
PSG4,Pregnancy specific beta-1-glycoprotein 4,33 µg/L
CNTFR,Ciliary neurotrophic factor receptor,32 µg/L
VASP,Vasodilator stimulated phosphoprotein,32 µg/L
GPNMB,Glycoprotein nmb,32 µg/L
PRCP,Prolylcarboxypeptidase,32 µg/L
H1-4,"H1.4 linker histone, cluster member",32 µg/L
FAM3C,FAM3 metabolism regulating signaling molecule C,32 µg/L
TGFBR3,Transforming growth factor beta receptor 3,31 µg/L
GSS,Glutathione synthetase,31 µg/L
MYL9,Myosin light chain 9,31 µg/L
NRP2,Neuropilin 2,31 µg/L
NPC2,NPC intracellular cholesterol transporter 2,31 µg/L
PSG8,Pregnancy specific beta-1-glycoprotein 8,31 µg/L
APOL2,Apolipoprotein L2,31 µg/L
OSMR,Oncostatin M receptor,31 µg/L
ERAP1,Endoplasmic reticulum aminopeptidase 1,31 µg/L
PPIB,Peptidylprolyl isomerase B,31 µg/L
NTM,Neurotrimin,31 µg/L
MAN2A2,Mannosidase alpha class 2A member 2,31 µg/L
GP6,Glycoprotein VI platelet,30 µg/L
MYH14,Myosin heavy chain 14,30 µg/L
CHIT1,Chitinase 1,30 µg/L
CD248,CD248 molecule,30 µg/L
ADAMTSL1,ADAMTS like 1,30 µg/L
ADH1B,"Alcohol dehydrogenase 1B (class I), beta polypeptide",30 µg/L
CTTN,Cortactin,29 µg/L
TNN,Tenascin N,29 µg/L
DMKN,Dermokine,29 µg/L
CXCL16,C-X-C motif chemokine ligand 16,29 µg/L
ITGA2,Integrin subunit alpha 2,29 µg/L
ILK,Integrin linked kinase,29 µg/L
CALML5,Calmodulin like 5,29 µg/L
ATF6B,Activating transcription factor 6 beta,29 µg/L
CCL16,C-C motif chemokine ligand 16,29 µg/L
MYH7,Myosin heavy chain 7,28 µg/L
SIRPB1,Signal regulatory protein beta 1,28 µg/L
IGFBP1,Insulin like growth factor binding protein 1,28 µg/L
FRZB,Frizzled related protein,28 µg/L
COL3A1,Collagen type III alpha 1 chain,28 µg/L
ADH1A,"Alcohol dehydrogenase 1A (class I), alpha polypeptide",28 µg/L
HEXB,Hexosaminidase subunit beta,27 µg/L
ACTN2,Actinin alpha 2,27 µg/L
FCN1,Ficolin 1,27 µg/L
SLC1A5,Solute carrier family 1 member 5,27 µg/L
PLAA,Phospholipase A2 activating protein,27 µg/L
SNED1,"Sushi, nidogen and EGF like domains 1",27 µg/L
HTRA1,HtrA serine peptidase 1,27 µg/L
F8,Coagulation factor VIII,27 µg/L
RNH1,Ribonuclease/angiogenin inhibitor 1,26 µg/L
ACTR3,Actin related protein 3,26 µg/L
ATF6,Activating transcription factor 6,26 µg/L
MYH8,Myosin heavy chain 8,26 µg/L
FLG,Filaggrin,26 µg/L
COL1A2,Collagen type I alpha 2 chain,26 µg/L
REG1B,Regenerating family member 1 beta,26 µg/L
CCL14,C-C motif chemokine ligand 14,26 µg/L
ANK1,Ankyrin 1,25 µg/L
HPN,Hepsin,25 µg/L
ARHGDIA,Rho GDP dissociation inhibitor alpha,25 µg/L
CPAMD8,C3 and PZP like alpha-2-macroglobulin domain containing 8,25 µg/L
PCLO,Piccolo presynaptic cytomatrix protein,25 µg/L
AGRN,Agrin,25 µg/L
CELA2B,Chymotrypsin like elastase 2B,25 µg/L
AGA,Aspartylglucosaminidase,24 µg/L
GANAB,Glucosidase II alpha subunit,24 µg/L
PDGFRB,Platelet derived growth factor receptor beta,24 µg/L
DSC2,Desmocollin 2,24 µg/L
FLNB,Filamin B,24 µg/L
TXN,Thioredoxin,24 µg/L
SEMA7A,Semaphorin 7A (John Milton Hagen blood group),24 µg/L
SECTM1,Secreted and transmembrane 1,24 µg/L
PGAM2,Phosphoglycerate mutase 2,24 µg/L
SCARA3,Scavenger receptor class A member 3,24 µg/L
DDR1,Discoidin domain receptor tyrosine kinase 1,24 µg/L
PGLYRP1,Peptidoglycan recognition protein 1,23 µg/L
ATP5F1B,ATP synthase F1 subunit beta,23 µg/L
TXNDC15,Thioredoxin domain containing 15,23 µg/L
OMD,Osteomodulin,23 µg/L
ITGB4,Integrin subunit beta 4,23 µg/L
DSC1,Desmocollin 1,23 µg/L
TGOLN2,Trans-golgi network protein 2,23 µg/L
ITGA5,Integrin subunit alpha 5,23 µg/L
AIMP1,Aminoacyl tRNA synthetase complex interacting multifunctional protein 1,23 µg/L
NIPBL,NIPBL cohesin loading factor,23 µg/L
CKB,Creatine kinase B,23 µg/L
INHBC,Inhibin subunit beta C,23 µg/L
ANXA2,Annexin A2,23 µg/L
IGLV5-37,Immunoglobulin lambda variable 5-37,23 µg/L
ACY1,Aminoacylase 1,23 µg/L
THSD7A,Thrombospondin type 1 domain containing 7A,22 µg/L
C1QTNF3,C1q and TNF related 3,22 µg/L
APLP1,Amyloid beta precursor like protein 1,22 µg/L
MANSC1,MANSC domain containing 1,22 µg/L
PODXL,Podocalyxin like,22 µg/L
CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,22 µg/L
HMCN2,Hemicentin 2,22 µg/L
NOTCH1,Notch receptor 1,22 µg/L
SCUBE1,"Signal peptide, CUB domain and EGF like domain containing 1",22 µg/L
CILP2,Cartilage intermediate layer protein 2,22 µg/L
FBLN2,Fibulin 2,22 µg/L
CAMP,Cathelicidin antimicrobial peptide,22 µg/L
SIGLEC7,Sialic acid binding Ig like lectin 7,22 µg/L
CCDC126,Coiled-coil domain containing 126,22 µg/L
PODN,Podocan,22 µg/L
PSG9,Pregnancy specific beta-1-glycoprotein 9,22 µg/L
RTN4RL2,Reticulon 4 receptor like 2,22 µg/L
TPSB2,Tryptase beta 2,22 µg/L
PSG2,Pregnancy specific beta-1-glycoprotein 2,22 µg/L
ADH1C,"Alcohol dehydrogenase 1C (class I), gamma polypeptide",22 µg/L
MYOC,Myocilin,21 µg/L
BIN2,Bridging integrator 2,21 µg/L
IL1R2,Interleukin 1 receptor type 2,21 µg/L
ADAMDEC1,ADAM like decysin 1,21 µg/L
ANTXR1,ANTXR cell adhesion molecule 1,21 µg/L
LAMB2,Laminin subunit beta 2,21 µg/L
NECTIN3,Nectin cell adhesion molecule 3,21 µg/L
PSG11,Pregnancy specific beta-1-glycoprotein 11,21 µg/L
MYH13,Myosin heavy chain 13,20 µg/L
MARCO,Macrophage receptor with collagenous structure,20 µg/L
DKK3,Dickkopf WNT signaling pathway inhibitor 3,20 µg/L
PGM1,Phosphoglucomutase 1,20 µg/L
PSMA7,Proteasome 20S subunit alpha 7,20 µg/L
SERPINE1,Serpin family E member 1,20 µg/L
AK1,Adenylate kinase 1,20 µg/L
PCDH12,Protocadherin 12,20 µg/L
PSMA1,Proteasome 20S subunit alpha 1,20 µg/L
STOM,Stomatin,20 µg/L
PTPRN2,Protein tyrosine phosphatase receptor type N2,20 µg/L
PDIA4,Protein disulfide isomerase family A member 4,20 µg/L
LTBP3,Latent transforming growth factor beta binding protein 3,20 µg/L
CEND1,Cell cycle exit and neuronal differentiation 1,20 µg/L
PARVB,Parvin beta,20 µg/L
CD84,CD84 molecule,19 µg/L
SORBS1,Sorbin and SH3 domain containing 1,19 µg/L
CLEC4M,C-type lectin domain family 4 member M,19 µg/L
HSPB1,Heat shock protein family B (small) member 1,19 µg/L
CORO1C,Coronin 1C,19 µg/L
MGP,Matrix Gla protein,19 µg/L
FGL2,Fibrinogen like 2,19 µg/L
CALU,Calumenin,19 µg/L
TIMD4,T cell immunoglobulin and mucin domain containing 4,19 µg/L
EPHA1,EPH receptor A1,19 µg/L
HPD,4-hydroxyphenylpyruvate dioxygenase,19 µg/L
IL6R,Interleukin 6 receptor,19 µg/L
CTSS,Cathepsin S,19 µg/L
EEF2,Eukaryotic translation elongation factor 2,19 µg/L
KLK11,Kallikrein related peptidase 11,19 µg/L
UGP2,UDP-glucose pyrophosphorylase 2,19 µg/L
H1-2,"H1.2 linker histone, cluster member",19 µg/L
DNER,Delta/notch like EGF repeat containing,19 µg/L
NME1,NME/NM23 nucleoside diphosphate kinase 1,19 µg/L
PSMA6,Proteasome 20S subunit alpha 6,18 µg/L
CD276,CD276 molecule,18 µg/L
CTSC,Cathepsin C,18 µg/L
CUTA,CutA divalent cation tolerance homolog,18 µg/L
PDIA6,Protein disulfide isomerase family A member 6,18 µg/L
LRP5,LDL receptor related protein 5,18 µg/L
SPINK1,Serine peptidase inhibitor Kazal type 1,18 µg/L
RET,Ret proto-oncogene,18 µg/L
MYL1,Myosin light chain 1,18 µg/L
FABP4,Fatty acid binding protein 4,18 µg/L
SIGLEC14,Sialic acid binding Ig like lectin 14,18 µg/L
PTPRC,Protein tyrosine phosphatase receptor type C,17 µg/L
SELPLG,Selectin P ligand,17 µg/L
CDH6,Cadherin 6,17 µg/L
GLIPR2,GLI pathogenesis related 2,17 µg/L
LDLR,Low density lipoprotein receptor,17 µg/L
UBA1,Ubiquitin like modifier activating enzyme 1,17 µg/L
CTSL,Cathepsin L,17 µg/L
HAVCR2,Hepatitis A virus cellular receptor 2,17 µg/L
FGFBP2,Fibroblast growth factor binding protein 2,17 µg/L
IDH1,Isocitrate dehydrogenase (NADP(+)) 1,17 µg/L
FBP1,Fructose-bisphosphatase 1,17 µg/L
GPT,Glutamic--pyruvic transaminase,17 µg/L
GKN1,Gastrokine 1,17 µg/L
CSF1,Colony stimulating factor 1,17 µg/L
COL15A1,Collagen type XV alpha 1 chain,17 µg/L
PKHD1L1,PKHD1 like 1,17 µg/L
ITGA1,Integrin subunit alpha 1,17 µg/L
CCL5,C-C motif chemokine ligand 5,17 µg/L
CD209,CD209 molecule,16 µg/L
ZFHX4,Zinc finger homeobox 4,16 µg/L
PYGL,Glycogen phosphorylase L,16 µg/L
MTPN,Myotrophin,16 µg/L
MANBA,Mannosidase beta,16 µg/L
LTBP2,Latent transforming growth factor beta binding protein 2,16 µg/L
CHAD,Chondroadherin,16 µg/L
PSMA5,Proteasome 20S subunit alpha 5,16 µg/L
LIPC,"Lipase C, hepatic type",16 µg/L
LIMS1,LIM zinc finger domain containing 1,16 µg/L
SMPDL3A,Sphingomyelin phosphodiesterase acid like 3A,16 µg/L
MYH6,Myosin heavy chain 6,16 µg/L
PDCD1LG2,Programmed cell death 1 ligand 2,16 µg/L
HLA-F,"Major histocompatibility complex, class I, F",16 µg/L
HEXA,Hexosaminidase subunit alpha,16 µg/L
CCL27,C-C motif chemokine ligand 27,16 µg/L
CAPN1,Calpain 1,15 µg/L
SERPINB3,Serpin family B member 3,15 µg/L
CDHR2,Cadherin related family member 2,15 µg/L
FKBP1A,FKBP prolyl isomerase 1A,15 µg/L
LGALS1,Galectin 1,15 µg/L
PYGB,Glycogen phosphorylase B,15 µg/L
HAMP,Hepcidin antimicrobial peptide,15 µg/L
MYH3,Myosin heavy chain 3,15 µg/L
APOA5,Apolipoprotein A5,15 µg/L
CAPZA1,Capping actin protein of muscle Z-line subunit alpha 1,15 µg/L
CSTA,Cystatin A,15 µg/L
H1-3,"H1.3 linker histone, cluster member",15 µg/L
SLC44A2,Solute carrier family 44 member 2,15 µg/L
CLTC,Clathrin heavy chain,15 µg/L
GLUD1,Glutamate dehydrogenase 1,15 µg/L
FREM2,FRAS1 related extracellular matrix 2,15 µg/L
CCL28,C-C motif chemokine ligand 28,15 µg/L
KRT82,Keratin 82,15 µg/L
A2ML1,Alpha-2-macroglobulin like 1,15 µg/L
EXT1,Exostosin glycosyltransferase 1,15 µg/L
NAP1L1,Nucleosome assembly protein 1 like 1,15 µg/L
KRTDAP,Keratinocyte differentiation associated protein,15 µg/L
AKR1C3,Aldo-keto reductase family 1 member C3,15 µg/L
LASP1,LIM and SH3 protein 1,14 µg/L
LMAN1,"Lectin, mannose binding 1",14 µg/L
FAT1,FAT atypical cadherin 1,14 µg/L
JAG1,Jagged canonical Notch ligand 1,14 µg/L
MSLN,Mesothelin,14 µg/L
COTL1,Coactosin like F-actin binding protein 1,14 µg/L
FAM20A,FAM20A golgi associated secretory pathway pseudokinase,14 µg/L
COL12A1,Collagen type XII alpha 1 chain,14 µg/L
GHR,Growth hormone receptor,14 µg/L
EPHA4,EPH receptor A4,14 µg/L
SSR1,Signal sequence receptor subunit 1,14 µg/L
ARPC1B,Actin related protein 2/3 complex subunit 1B,14 µg/L
ASGR2,Asialoglycoprotein receptor 2,14 µg/L
ALPL,"Alkaline phosphatase, biomineralization associated",14 µg/L
CRELD1,Cysteine rich with EGF like domains 1,14 µg/L
ROBO1,Roundabout guidance receptor 1,14 µg/L
HSPA4,Heat shock protein family A (Hsp70) member 4,14 µg/L
